Alcohol,z,Malic_Acid,,Ash,,Ash_Alcanity,,Magnesium,,Total_Phenols,,Flavanoids,,Nonflavanoid_Phenols,,Proanthocyanins,,Color_Intensity,,Hue,,OD280,,Proline,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.23,-1.829207911,1.71,-0.387253777,2.43,-6.220425873,15.6,9.745960945,127,,2.8,,3.06,,0.28,,2.29,,5.64,,1.04,,3.92,,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.2,-2.859207911,1.78,-0.317253777,2.14,-6.510425873,11.2,5.345960945,100,,2.65,,2.76,,0.26,,1.28,,4.38,,1.05,,3.4,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.16,-2.899207911,2.36,0.262746223,2.67,-5.980425873,18.6,12.74596095,101,,2.8,,3.24,,0.3,,2.81,,5.68,,1.03,,3.17,,1185,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.37,-1.689207911,1.95,-0.147253777,2.5,-6.150425873,16.8,10.94596095,113,,3.85,,3.49,,0.24,,2.18,,7.8,,0.86,,3.45,,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.24,-2.819207911,2.59,0.492746223,2.87,-5.780425873,21,15.14596095,118,,2.8,,2.69,,0.39,,1.82,,4.32,,1.04,,2.93,,735,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.2,-1.859207911,1.76,-0.337253777,2.45,-6.200425873,15.2,9.345960945,112,,3.27,,3.39,,0.34,,1.97,,6.75,,1.05,,2.85,,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.39,-1.669207911,1.87,-0.227253777,2.45,-6.200425873,14.6,8.745960945,96,,2.5,,2.52,,0.3,,1.98,,5.25,,1.02,,3.58,,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.06,-1.999207911,2.15,0.052746223,2.61,-6.040425873,17.6,11.74596095,121,,2.6,,2.51,,0.31,,1.25,,5.05,,1.06,,3.58,,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.83,-1.229207911,1.64,-0.457253777,2.17,-6.480425873,14,8.145960945,97,,2.8,,2.98,,0.29,,1.98,,5.2,,1.08,,2.85,,1045,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.86,-2.199207911,1.35,-0.747253777,2.27,-6.380425873,16,10.14596095,98,,2.98,,3.15,,0.22,,1.85,,7.22,,1.01,,3.55,,1045,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.1,-1.959207911,2.16,0.062746223,2.3,-6.350425873,18,12.14596095,105,,2.95,,3.32,,0.22,,2.38,,5.75,,1.25,,3.17,,1510,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.12,-1.939207911,1.48,-0.617253777,2.32,-6.330425873,16.8,10.94596095,95,,2.2,,2.43,,0.26,,1.57,,5,,1.17,,2.82,,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.75,-2.309207911,1.73,-0.367253777,2.41,-6.240425873,16,10.14596095,89,,2.6,,2.76,,0.29,,1.81,,5.6,,1.15,,2.9,,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.75,-1.309207911,1.73,-0.367253777,2.39,-6.260425873,11.4,5.545960945,91,,3.1,,3.69,,0.43,,2.81,,5.4,,1.25,,2.73,,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.38,-1.679207911,1.87,-0.227253777,2.38,-6.270425873,12,6.145960945,102,,3.3,,3.64,,0.29,,2.96,,7.5,,1.2,,3,,1547,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.63,-2.429207911,1.81,-0.287253777,2.7,-5.950425873,17.2,11.34596095,112,,2.85,,2.91,,0.3,,1.46,,7.3,,1.28,,2.88,,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.3,-1.759207911,1.92,-0.177253777,2.72,-5.930425873,20,14.14596095,120,,2.8,,3.14,,0.33,,1.97,,6.2,,1.07,,2.65,,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.83,-2.229207911,1.57,-0.527253777,2.62,-6.030425873,20,14.14596095,115,,2.95,,3.4,,0.4,,1.72,,6.6,,1.13,,2.57,,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.19,-1.869207911,1.59,-0.507253777,2.48,-6.170425873,16.5,10.64596095,108,,3.3,,3.93,,0.32,,1.86,,8.7,,1.23,,2.82,,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.64,-2.419207911,3.1,1.002746223,2.56,-6.090425873,15.2,9.345960945,116,,2.7,,3.03,,0.17,,1.66,,5.1,,0.96,,3.36,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.06,-1.999207911,1.63,-0.467253777,2.28,-6.370425873,16,10.14596095,126,,3,,3.17,,0.24,,2.1,,5.65,,1.09,,3.71,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.93,-3.129207911,3.8,1.702746223,2.65,-6.000425873,18.6,12.74596095,102,,2.41,,2.41,,0.25,,1.98,,4.5,,1.03,,3.52,,770,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.71,-2.349207911,1.86,-0.237253777,2.36,-6.290425873,16.6,10.74596095,101,,2.61,,2.88,,0.27,,1.69,,3.8,,1.11,,4,,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.85,-3.209207911,1.6,-0.497253777,2.52,-6.130425873,17.8,11.94596095,95,,2.48,,2.37,,0.26,,1.46,,3.93,,1.09,,3.63,,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.5,-2.559207911,1.81,-0.287253777,2.61,-6.040425873,20,14.14596095,96,,2.53,,2.61,,0.28,,1.66,,3.52,,1.12,,3.82,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05,-3.009207911,2.05,-0.047253777,3.22,-5.430425873,25,19.14596095,124,,2.63,,2.68,,0.47,,1.92,,3.58,,1.13,,3.2,,830,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.39,-2.669207911,1.77,-0.327253777,2.62,-6.030425873,16.1,10.24596095,93,,2.85,,2.94,,0.34,,1.45,,4.8,,0.92,,3.22,,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.3,-2.759207911,1.72,-0.377253777,2.14,-6.510425873,17,11.14596095,94,,2.4,,2.19,,0.27,,1.35,,3.95,,1.02,,2.77,,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.87,-2.189207911,1.9,-0.197253777,2.8,-5.850425873,19.4,13.54596095,107,,2.95,,2.97,,0.37,,1.76,,4.5,,1.25,,3.4,,915,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.02,-2.039207911,1.68,-0.417253777,2.21,-6.440425873,16,10.14596095,96,,2.65,,2.33,,0.26,,1.98,,4.7,,1.04,,3.59,,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.73,-2.329207911,1.5,-0.597253777,2.7,-5.950425873,22.5,16.64596095,101,,3,,3.25,,0.29,,2.38,,5.7,,1.19,,2.71,,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.58,-2.479207911,1.66,-0.437253777,2.36,-6.290425873,19.1,13.24596095,106,,2.86,,3.19,,0.22,,1.95,,6.9,,1.09,,2.88,,1515,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.68,-2.379207911,1.83,-0.267253777,2.36,-6.290425873,17.2,11.34596095,104,,2.42,,2.69,,0.42,,1.97,,3.84,,1.23,,2.87,,990,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.76,-2.299207911,1.53,-0.567253777,2.7,-5.950425873,19.5,13.64596095,132,,2.95,,2.74,,0.5,,1.35,,5.4,,1.25,,3,,1235,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.51,-2.549207911,1.8,-0.297253777,2.65,-6.000425873,19,13.14596095,110,,2.35,,2.53,,0.29,,1.54,,4.2,,1.1,,2.87,,1095,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.48,-2.579207911,1.81,-0.287253777,2.41,-6.240425873,20.5,14.64596095,100,,2.7,,2.98,,0.26,,1.86,,5.1,,1.04,,3.47,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.28,-2.779207911,1.64,-0.457253777,2.84,-5.810425873,15.5,9.645960945,110,,2.6,,2.68,,0.34,,1.36,,4.6,,1.09,,2.78,,880,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05,-3.009207911,1.65,-0.447253777,2.55,-6.100425873,18,12.14596095,98,,2.45,,2.43,,0.29,,1.44,,4.25,,1.12,,2.51,,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.07,-2.989207911,1.5,-0.597253777,2.1,-6.550425873,15.5,9.645960945,98,,2.4,,2.64,,0.28,,1.37,,3.7,,1.18,,2.69,,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.22,-1.839207911,3.99,1.892746223,2.51,-6.140425873,13.2,7.345960945,128,,3,,3.04,,0.2,,2.08,,5.1,,0.89,,3.53,,760,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.56,-2.499207911,1.71,-0.387253777,2.31,-6.340425873,16.2,10.34596095,117,,3.15,,3.29,,0.34,,2.34,,6.13,,0.95,,3.38,,795,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.41,-2.649207911,3.84,1.742746223,2.12,-6.530425873,18.8,12.94596095,90,,2.45,,2.68,,0.27,,1.48,,4.28,,0.91,,3,,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.88,-2.179207911,1.89,-0.207253777,2.59,-6.060425873,15,9.145960945,101,,3.25,,3.56,,0.17,,1.7,,5.43,,0.88,,3.56,,1095,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.24,-2.819207911,3.98,1.882746223,2.29,-6.360425873,17.5,11.64596095,103,,2.64,,2.63,,0.32,,1.66,,4.36,,0.82,,3,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05,-3.009207911,1.77,-0.327253777,2.1,-6.550425873,17,11.14596095,107,,3,,3,,0.28,,2.03,,5.04,,0.88,,3.35,,885,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.21,-1.849207911,4.04,1.942746223,2.44,-6.210425873,18.9,13.04596095,111,,2.85,,2.65,,0.3,,1.25,,5.24,,0.87,,3.33,,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.38,-1.679207911,3.59,1.492746223,2.28,-6.370425873,16,10.14596095,102,,3.25,,3.17,,0.27,,2.19,,4.9,,1.04,,3.44,,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.9,-2.159207911,1.68,-0.417253777,2.12,-6.530425873,16,10.14596095,101,,3.1,,3.39,,0.21,,2.14,,6.1,,0.91,,3.33,,985,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.1,-1.959207911,2.02,-0.077253777,2.4,-6.250425873,18.8,12.94596095,103,,2.75,,2.92,,0.32,,2.38,,6.2,,1.07,,2.75,,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.94,-2.119207911,1.73,-0.367253777,2.27,-6.380425873,17.4,11.54596095,108,,2.88,,3.54,,0.32,,2.08,,8.9,,1.12,,3.1,,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05,-3.009207911,1.73,-0.367253777,2.04,-6.610425873,12.4,6.545960945,92,,2.72,,3.27,,0.17,,2.91,,7.2,,1.12,,2.91,,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.83,-2.229207911,1.65,-0.447253777,2.6,-6.050425873,17.2,11.34596095,94,,2.45,,2.99,,0.22,,2.29,,5.6,,1.24,,3.37,,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.82,-2.239207911,1.75,-0.347253777,2.42,-6.230425873,14,8.145960945,111,,3.88,,3.74,,0.32,,1.87,,7.05,,1.01,,3.26,,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.77,-2.289207911,1.9,-0.197253777,2.68,-5.970425873,17.1,11.24596095,115,,3,,2.79,,0.39,,1.68,,6.3,,1.13,,2.93,,1375,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.74,-2.319207911,1.67,-0.427253777,2.25,-6.400425873,16.4,10.54596095,118,,2.6,,2.9,,0.21,,1.62,,5.85,,0.92,,3.2,,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.56,-2.499207911,1.73,-0.367253777,2.46,-6.190425873,20.5,14.64596095,116,,2.96,,2.78,,0.2,,2.45,,6.25,,0.98,,3.03,,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.22,-1.839207911,1.7,-0.397253777,2.3,-6.350425873,16.3,10.44596095,118,,3.2,,3,,0.26,,2.03,,6.38,,0.94,,3.31,,970,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.29,-2.769207911,1.97,-0.127253777,2.68,-5.970425873,16.8,10.94596095,102,,3,,3.23,,0.31,,1.66,,6,,1.07,,2.84,,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.72,-2.339207911,1.43,-0.667253777,2.5,-6.150425873,16.7,10.84596095,108,,3.4,,3.67,,0.19,,2.04,,6.8,,0.89,,2.87,,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.37,-3.689207911,0.94,-1.157253777,1.36,-7.290425873,10.6,4.745960945,88,,1.98,,0.57,,0.28,,0.42,,1.95,,1.05,,1.82,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.33,-3.729207911,1.1,-0.997253777,2.28,-6.370425873,16,10.14596095,101,,2.05,,1.09,,0.63,,0.41,,3.27,,1.25,,1.67,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.64,-3.419207911,1.36,-0.737253777,2.02,-6.630425873,16.8,10.94596095,100,,2.02,,1.41,,0.53,,0.62,,5.75,,0.98,,1.59,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.67,-2.389207911,1.25,-0.847253777,1.92,-6.730425873,18,12.14596095,94,,2.1,,1.79,,0.32,,0.73,,3.8,,1.23,,2.46,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.37,-3.689207911,1.13,-0.967253777,2.16,-6.490425873,19,13.14596095,87,,3.5,,3.1,,0.19,,1.87,,4.45,,1.22,,2.87,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.17,-3.889207911,1.45,-0.647253777,2.53,-6.120425873,19,13.14596095,104,,1.89,,1.75,,0.45,,1.03,,2.95,,1.45,,2.23,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.37,-3.689207911,1.21,-0.887253777,2.56,-6.090425873,18.1,12.24596095,98,,2.42,,2.65,,0.37,,2.08,,4.6,,1.19,,2.3,,678,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.11,-2.949207911,1.01,-1.087253777,1.7,-6.950425873,15,9.145960945,78,,2.98,,3.18,,0.26,,2.28,,5.3,,1.12,,3.18,,502,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.37,-3.689207911,1.17,-0.927253777,1.92,-6.730425873,19.6,13.74596095,78,,2.11,,2,,0.27,,1.04,,4.68,,1.12,,3.48,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.34,-2.719207911,0.94,-1.157253777,2.36,-6.290425873,17,11.14596095,110,,2.53,,1.3,,0.55,,0.42,,3.17,,1.02,,1.93,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.21,-3.849207911,1.19,-0.907253777,1.75,-6.900425873,16.8,10.94596095,151,,1.85,,1.28,,0.14,,2.5,,2.85,,1.28,,3.07,,718,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.29,-3.769207911,1.61,-0.487253777,2.21,-6.440425873,20.4,14.54596095,103,,1.1,,1.02,,0.37,,1.46,,3.05,,0.906,,1.82,,870,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.86,-2.199207911,1.51,-0.587253777,2.67,-5.980425873,25,19.14596095,86,,2.95,,2.86,,0.21,,1.87,,3.38,,1.36,,3.16,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.49,-2.569207911,1.66,-0.437253777,2.24,-6.410425873,24,18.14596095,87,,1.88,,1.84,,0.27,,1.03,,3.74,,0.98,,2.78,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.99,-3.069207911,1.67,-0.427253777,2.6,-6.050425873,30,24.14596095,139,,3.3,,2.89,,0.21,,1.96,,3.35,,1.31,,3.5,,985,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.96,-4.099207911,1.09,-1.007253777,2.3,-6.350425873,21,15.14596095,101,,3.38,,2.14,,0.13,,1.65,,3.21,,0.99,,3.13,,886,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.66,-4.399207911,1.88,-0.217253777,1.92,-6.730425873,16,10.14596095,97,,1.61,,1.57,,0.34,,1.15,,3.8,,1.23,,2.14,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.03,-3.029207911,0.9,-1.197253777,1.71,-6.940425873,16,10.14596095,86,,1.95,,2.03,,0.24,,1.46,,4.6,,1.19,,2.48,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.84,-4.219207911,2.89,0.792746223,2.23,-6.420425873,18,12.14596095,112,,1.72,,1.32,,0.43,,0.95,,2.65,,0.96,,2.52,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.33,-3.729207911,0.99,-1.107253777,1.95,-6.700425873,14.8,8.945960945,136,,1.9,,1.85,,0.35,,2.76,,3.4,,1.06,,2.31,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.7,-3.359207911,3.87,1.772746223,2.4,-6.250425873,23,17.14596095,101,,2.83,,2.55,,0.43,,1.95,,2.57,,1.19,,3.13,,463,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-4.059207911,0.92,-1.177253777,2,-6.650425873,19,13.14596095,86,,2.42,,2.26,,0.3,,1.43,,2.5,,1.38,,3.12,,278,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.72,-3.339207911,1.81,-0.287253777,2.2,-6.450425873,18.8,12.94596095,86,,2.2,,2.53,,0.26,,1.77,,3.9,,1.16,,3.14,,714,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08,-3.979207911,1.13,-0.967253777,2.51,-6.140425873,24,18.14596095,78,,2,,1.58,,0.4,,1.4,,2.2,,1.31,,2.72,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05,-3.009207911,3.86,1.762746223,2.32,-6.330425873,22.5,16.64596095,85,,1.65,,1.59,,0.61,,1.62,,4.8,,0.84,,2.01,,515,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.84,-4.219207911,0.89,-1.207253777,2.58,-6.070425873,18,12.14596095,94,,2.2,,2.21,,0.22,,2.35,,3.05,,0.79,,3.08,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.67,-3.389207911,0.98,-1.117253777,2.24,-6.410425873,18,12.14596095,99,,2.2,,1.94,,0.3,,1.46,,2.62,,1.23,,3.16,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.16,-3.899207911,1.61,-0.487253777,2.31,-6.340425873,22.8,16.94596095,90,,1.78,,1.69,,0.43,,1.56,,2.45,,1.33,,2.26,,495,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.65,-4.409207911,1.67,-0.427253777,2.62,-6.030425873,26,20.14596095,88,,1.92,,1.61,,0.4,,1.34,,2.6,,1.36,,3.21,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.64,-4.419207911,2.06,-0.037253777,2.46,-6.190425873,21.6,15.74596095,84,,1.95,,1.69,,0.48,,1.35,,2.8,,1,,2.75,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,
