Alcohol,z,Malic_Acid,,Ash,,Ash_Alcanity,,Magnesium,,Total_Phenols,,Flavanoids,,Nonflavanoid_Phenols,,Proanthocyanins,,Color_Intensity,,Hue,,OD280,,Proline,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08,-3.979207911,1.33,-0.767253777,2.3,-6.350425873,23.6,17.74596095,70,,2.2,,1.59,,0.42,,1.38,,1.74,,1.07,,3.21,,625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08,-3.979207911,1.83,-0.267253777,2.32,-6.330425873,18.5,12.64596095,81,,1.6,,1.5,,0.52,,1.64,,2.4,,1.08,,2.27,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-4.059207911,1.51,-0.587253777,2.42,-6.230425873,22,16.14596095,86,,1.45,,1.25,,0.5,,1.63,,3.6,,1.05,,2.65,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.69,-3.369207911,1.53,-0.567253777,2.26,-6.390425873,20.7,14.84596095,80,,1.38,,1.46,,0.58,,1.62,,3.05,,0.96,,2.06,,495,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.29,-3.769207911,2.83,0.732746223,2.22,-6.430425873,18,12.14596095,88,,2.45,,2.25,,0.25,,1.99,,2.15,,1.15,,3.3,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.62,-4.439207911,1.99,-0.107253777,2.28,-6.370425873,18,12.14596095,98,,3.02,,2.26,,0.17,,1.35,,3.25,,1.16,,2.96,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.47,-3.589207911,1.52,-0.577253777,2.2,-6.450425873,19,13.14596095,162,,2.5,,2.27,,0.32,,3.28,,2.6,,1.16,,2.63,,937,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.81,-4.249207911,2.12,0.022746223,2.74,-5.910425873,21.5,15.64596095,134,,1.6,,0.99,,0.14,,1.56,,2.5,,0.95,,2.26,,625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.29,-3.769207911,1.41,-0.687253777,1.98,-6.670425873,16,10.14596095,85,,2.55,,2.5,,0.29,,1.77,,2.9,,1.23,,2.74,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.37,-3.689207911,1.07,-1.027253777,2.1,-6.550425873,18.5,12.64596095,88,,3.52,,3.75,,0.24,,1.95,,4.5,,1.04,,2.77,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.29,-3.769207911,3.17,1.072746223,2.21,-6.440425873,18,12.14596095,88,,2.85,,2.99,,0.45,,2.81,,2.3,,1.42,,2.83,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08,-3.979207911,2.08,-0.017253777,1.7,-6.950425873,17.5,11.64596095,97,,2.23,,2.17,,0.26,,1.4,,3.3,,1.27,,2.96,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6,-3.459207911,1.34,-0.757253777,1.9,-6.750425873,18.5,12.64596095,88,,1.45,,1.36,,0.29,,1.35,,2.45,,1.04,,2.77,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.34,-3.719207911,2.45,0.352746223,2.46,-6.190425873,21,15.14596095,98,,2.56,,2.11,,0.34,,1.31,,2.8,,0.8,,3.38,,438,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.82,-4.239207911,1.72,-0.377253777,1.88,-6.770425873,19.5,13.64596095,86,,2.5,,1.64,,0.37,,1.42,,2.06,,0.94,,2.44,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.51,-3.549207911,1.73,-0.367253777,1.98,-6.670425873,20.5,14.64596095,85,,2.2,,1.92,,0.32,,1.48,,2.94,,1.04,,3.57,,672,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.42,-3.639207911,2.55,0.452746223,2.27,-6.380425873,22,16.14596095,90,,1.68,,1.84,,0.66,,1.42,,2.7,,0.86,,3.3,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.25,-3.809207911,1.73,-0.367253777,2.12,-6.530425873,19,13.14596095,80,,1.65,,2.03,,0.37,,1.63,,3.4,,1,,3.17,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.72,-3.339207911,1.75,-0.347253777,2.28,-6.370425873,22.5,16.64596095,84,,1.38,,1.76,,0.48,,1.63,,3.3,,0.88,,2.42,,488,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.22,-3.839207911,1.29,-0.807253777,1.94,-6.710425873,19,13.14596095,92,,2.36,,2.04,,0.39,,2.08,,2.7,,0.86,,3.02,,312,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.61,-4.449207911,1.35,-0.747253777,2.7,-5.950425873,20,14.14596095,94,,2.74,,2.92,,0.29,,2.49,,2.65,,0.96,,3.26,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.46,-4.599207911,3.74,1.642746223,1.82,-6.830425873,19.5,13.64596095,107,,3.18,,2.58,,0.24,,3.58,,2.9,,0.75,,2.81,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.52,-3.539207911,2.43,0.332746223,2.17,-6.480425873,21,15.14596095,88,,2.55,,2.27,,0.26,,1.22,,2,,0.9,,2.78,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.76,-4.299207911,2.68,0.582746223,2.92,-5.730425873,20,14.14596095,103,,1.75,,2.03,,0.6,,1.05,,3.8,,1.23,,2.5,,607,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.41,-4.649207911,0.74,-1.357253777,2.5,-6.150425873,21,15.14596095,88,,2.48,,2.01,,0.42,,1.44,,3.08,,1.1,,2.31,,434,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08,-3.979207911,1.39,-0.707253777,2.5,-6.150425873,22.5,16.64596095,84,,2.56,,2.29,,0.43,,1.04,,2.9,,0.93,,3.19,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.03,-5.029207911,1.51,-0.587253777,2.2,-6.450425873,21.5,15.64596095,85,,2.46,,2.17,,0.52,,2.01,,1.9,,1.71,,2.87,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.82,-4.239207911,1.47,-0.627253777,1.99,-6.660425873,20.8,14.94596095,86,,1.98,,1.6,,0.3,,1.53,,1.95,,0.95,,3.33,,495,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.42,-3.639207911,1.61,-0.487253777,2.19,-6.460425873,22.5,16.64596095,108,,2,,2.09,,0.34,,1.61,,2.06,,1.06,,2.96,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.77,-3.289207911,3.43,1.332746223,1.98,-6.670425873,16,10.14596095,80,,1.63,,1.25,,0.43,,0.83,,3.4,,0.7,,2.12,,372,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-4.059207911,3.43,1.332746223,2,-6.650425873,19,13.14596095,87,,2,,1.64,,0.37,,1.87,,1.28,,0.93,,3.05,,564,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.45,-4.609207911,2.4,0.302746223,2.42,-6.230425873,20,14.14596095,96,,2.9,,2.79,,0.32,,1.83,,3.25,,0.8,,3.39,,625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.56,-4.499207911,2.05,-0.047253777,3.23,-5.420425873,28.5,22.64596095,119,,3.18,,5.08,,0.47,,1.87,,6,,0.93,,3.69,,465,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.42,-3.639207911,4.43,2.332746223,2.73,-5.920425873,26.5,20.64596095,102,,2.2,,2.13,,0.43,,1.71,,2.08,,0.92,,3.12,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05,-3.009207911,5.8,3.702746223,2.13,-6.520425873,21.5,15.64596095,86,,2.62,,2.65,,0.3,,2.01,,2.6,,0.73,,3.1,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.87,-4.189207911,4.31,2.212746223,2.39,-6.260425873,21,15.14596095,82,,2.86,,3.03,,0.21,,2.91,,2.8,,0.75,,3.64,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.07,-3.989207911,2.16,0.062746223,2.17,-6.480425873,21,15.14596095,85,,2.6,,2.65,,0.37,,1.35,,2.76,,0.86,,3.28,,378,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.43,-3.629207911,1.53,-0.567253777,2.29,-6.360425873,21.5,15.64596095,86,,2.74,,3.15,,0.39,,1.77,,3.94,,0.69,,2.84,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.79,-4.269207911,2.13,0.032746223,2.78,-5.870425873,28.5,22.64596095,92,,2.13,,2.24,,0.58,,1.76,,3,,0.97,,2.44,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.37,-3.689207911,1.63,-0.467253777,2.3,-6.350425873,24.5,18.64596095,88,,2.22,,2.45,,0.4,,1.9,,2.12,,0.89,,2.78,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.04,-4.019207911,4.3,2.202746223,2.38,-6.270425873,22,16.14596095,80,,2.1,,1.75,,0.42,,1.35,,2.6,,0.79,,2.57,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.86,-3.199207911,1.35,-0.747253777,2.32,-6.330425873,18,12.14596095,122,,1.51,,1.25,,0.21,,0.94,,4.1,,0.76,,1.29,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.88,-3.179207911,2.99,0.892746223,2.4,-6.250425873,20,14.14596095,104,,1.3,,1.22,,0.24,,0.83,,5.4,,0.74,,1.42,,530,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.81,-3.249207911,2.31,0.212746223,2.4,-6.250425873,24,18.14596095,98,,1.15,,1.09,,0.27,,0.83,,5.7,,0.66,,1.36,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.7,-3.359207911,3.55,1.452746223,2.36,-6.290425873,21.5,15.64596095,106,,1.7,,1.2,,0.17,,0.84,,5,,0.78,,1.29,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.51,-3.549207911,1.24,-0.857253777,2.25,-6.400425873,17.5,11.64596095,85,,2,,0.58,,0.6,,1.25,,5.45,,0.75,,1.51,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6,-3.459207911,2.46,0.362746223,2.2,-6.450425873,18.5,12.64596095,94,,1.62,,0.66,,0.63,,0.94,,7.1,,0.73,,1.58,,695,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.25,-3.809207911,4.72,2.622746223,2.54,-6.110425873,21,15.14596095,89,,1.38,,0.47,,0.53,,0.8,,3.85,,0.75,,1.27,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.53,-3.529207911,5.51,3.412746223,2.64,-6.010425873,25,19.14596095,96,,1.79,,0.6,,0.63,,1.1,,5,,0.82,,1.69,,515,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.49,-2.569207911,3.59,1.492746223,2.19,-6.460425873,19.5,13.64596095,88,,1.62,,0.48,,0.58,,0.88,,5.7,,0.81,,1.82,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.84,-3.219207911,2.96,0.862746223,2.61,-6.040425873,24,18.14596095,101,,2.32,,0.6,,0.53,,0.81,,4.92,,0.89,,2.15,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.93,-3.129207911,2.81,0.712746223,2.7,-5.950425873,21,15.14596095,96,,1.54,,0.5,,0.53,,0.75,,4.6,,0.77,,2.31,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.36,-2.699207911,2.56,0.462746223,2.35,-6.300425873,20,14.14596095,89,,1.4,,0.5,,0.37,,0.64,,5.6,,0.7,,2.47,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.52,-2.539207911,3.17,1.072746223,2.72,-5.930425873,23.5,17.64596095,97,,1.55,,0.52,,0.5,,0.55,,4.35,,0.89,,2.06,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.62,-2.439207911,4.95,2.852746223,2.35,-6.300425873,20,14.14596095,92,,2,,0.8,,0.47,,1.02,,4.4,,0.91,,2.05,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.25,-3.809207911,3.88,1.782746223,2.2,-6.450425873,18.5,12.64596095,112,,1.38,,0.78,,0.29,,1.14,,8.21,,0.65,,2,,855,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.16,-2.899207911,3.57,1.472746223,2.15,-6.500425873,21,15.14596095,102,,1.5,,0.55,,0.43,,1.3,,4,,0.6,,1.68,,830,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.88,-2.179207911,5.04,2.942746223,2.23,-6.420425873,20,14.14596095,80,,0.98,,0.34,,0.4,,0.68,,4.9,,0.58,,1.33,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.87,-3.189207911,4.61,2.512746223,2.48,-6.170425873,21.5,15.64596095,86,,1.7,,0.65,,0.47,,0.86,,7.65,,0.54,,1.86,,625,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.32,-2.739207911,3.24,1.142746223,2.38,-6.270425873,21.5,15.64596095,92,,1.93,,0.76,,0.45,,1.25,,8.42,,0.55,,1.62,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08,-2.979207911,3.9,1.802746223,2.36,-6.290425873,21.5,15.64596095,113,,1.41,,1.39,,0.34,,1.14,,9.4,,0.57,,1.33,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.5,-2.559207911,3.12,1.022746223,2.62,-6.030425873,24,18.14596095,123,,1.4,,1.57,,0.22,,1.25,,8.6,,0.59,,1.3,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.79,-3.269207911,2.67,0.572746223,2.48,-6.170425873,22,16.14596095,112,,1.48,,1.36,,0.24,,1.26,,10.8,,0.48,,1.47,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.11,-2.949207911,1.9,-0.197253777,2.75,-5.900425873,25.5,19.64596095,116,,2.2,,1.28,,0.26,,1.56,,7.1,,0.61,,1.33,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.23,-2.829207911,3.3,1.202746223,2.28,-6.370425873,18.5,12.64596095,98,,1.8,,0.83,,0.61,,1.87,,10.52,,0.56,,1.51,,675,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.58,-3.479207911,1.29,-0.807253777,2.1,-6.550425873,20,14.14596095,103,,1.48,,0.58,,0.53,,1.4,,7.6,,0.58,,1.55,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.17,-2.889207911,5.19,3.092746223,2.32,-6.330425873,22,16.14596095,93,,1.74,,0.63,,0.61,,1.55,,7.9,,0.6,,1.48,,725,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.84,-2.219207911,4.12,2.022746223,2.38,-6.270425873,19.5,13.64596095,89,,1.8,,0.83,,0.48,,1.56,,9.01,,0.57,,1.64,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.45,-3.609207911,3.03,0.932746223,2.64,-6.010425873,27,21.14596095,97,,1.9,,0.58,,0.63,,1.14,,7.5,,0.67,,1.73,,880,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.34,-1.719207911,1.68,-0.417253777,2.7,-5.950425873,25,19.14596095,98,,2.8,,1.31,,0.53,,2.7,,13,,0.57,,1.96,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.48,-2.579207911,1.67,-0.427253777,2.64,-6.010425873,22.5,16.64596095,89,,2.6,,1.1,,0.52,,2.29,,11.75,,0.57,,1.78,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.36,-3.699207911,3.83,1.732746223,2.38,-6.270425873,21,15.14596095,88,,2.3,,0.92,,0.5,,1.04,,7.65,,0.56,,1.58,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.69,-2.369207911,3.26,1.162746223,2.54,-6.110425873,20,14.14596095,107,,1.83,,0.56,,0.5,,0.8,,5.88,,0.96,,1.82,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.85,-3.209207911,3.27,1.172746223,2.58,-6.070425873,22,16.14596095,106,,1.65,,0.6,,0.6,,0.96,,5.58,,0.87,,2.11,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.96,-3.099207911,3.45,1.352746223,2.35,-6.300425873,18.5,12.64596095,106,,1.39,,0.7,,0.4,,0.94,,5.28,,0.68,,1.75,,675,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.78,-2.279207911,2.76,0.662746223,2.3,-6.350425873,22,16.14596095,90,,1.35,,0.68,,0.41,,1.03,,9.58,,0.7,,1.68,,615,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.73,-2.329207911,4.36,2.262746223,2.26,-6.390425873,22.5,16.64596095,88,,1.28,,0.47,,0.52,,1.15,,6.62,,0.78,,1.75,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.45,-2.609207911,3.7,1.602746223,2.6,-6.050425873,23,17.14596095,111,,1.7,,0.92,,0.43,,1.46,,10.68,,0.85,,1.56,,695,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.82,-3.239207911,3.37,1.272746223,2.3,-6.350425873,19.5,13.64596095,88,,1.48,,0.66,,0.4,,0.97,,10.26,,0.72,,1.75,,685,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.58,-2.479207911,2.58,0.482746223,2.69,-5.960425873,24.5,18.64596095,105,,1.55,,0.84,,0.39,,1.54,,8.66,,0.74,,1.8,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.4,-2.659207911,4.6,2.502746223,2.86,-5.790425873,25,19.14596095,112,,1.98,,0.96,,0.27,,1.11,,8.5,,0.67,,1.92,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.2,-3.859207911,3.03,0.932746223,2.32,-6.330425873,19,13.14596095,96,,1.25,,0.49,,0.4,,0.73,,5.5,,0.66,,1.83,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.77,-3.289207911,2.39,0.292746223,2.28,-6.370425873,19.5,13.64596095,86,,1.39,,0.51,,0.48,,0.64,,9.899999,,0.57,,1.63,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.16,-1.899207911,2.51,0.412746223,2.48,-6.170425873,20,14.14596095,91,,1.68,,0.7,,0.44,,1.24,,9.7,,0.62,,1.71,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.71,-2.349207911,5.65,3.552746223,2.45,-6.200425873,20.5,14.64596095,95,,1.68,,0.61,,0.52,,1.06,,7.7,,0.64,,1.74,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.4,-2.659207911,3.91,1.812746223,2.48,-6.170425873,23,17.14596095,102,,1.8,,0.75,,0.43,,1.41,,7.3,,0.7,,1.56,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.27,-2.789207911,4.28,2.182746223,2.26,-6.390425873,20,14.14596095,120,,1.59,,0.69,,0.43,,1.35,,10.2,,0.59,,1.56,,835,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.17,-2.889207911,2.59,0.492746223,2.37,-6.280425873,20,14.14596095,120,,1.65,,0.68,,0.53,,1.46,,9.3,,0.6,,1.62,,840,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.13,-1.929207911,4.1,2.002746223,2.74,-5.910425873,24.5,18.64596095,96,,2.05,,0.76,,0.56,,1.35,,9.2,,0.61,,1.6,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,13.00061798,,2.336348315,,2.366516854,,19.49494382,,99.74157303,,2.29511236,,2.029269663,,0.361853933,,1.590898876,,5.058089882,,0.957449438,,2.611685393,,746.8932584,,,,,,,,,,,,,,,,,,,,,,,,,,
std,0.809542915,,1.114003627,,0.273572294,,3.330169758,,14.24230767,,0.624090564,,0.99604895,,0.12410326,,0.570748849,,2.311764661,,0.227928607,,0.707993265,,314.0216568,,,,,,,,,,,,,,,,,,,,,,,,,,
